Date,Time,Open,High,Low,Close,Volume
2019.07.10,21:05,1.1252,1.12558,1.1249,1.12547,1278
2019.07.10,22:05,1.12547,1.12596,1.12528,1.1257,605
2019.07.10,23:05,1.12572,1.12593,1.12551,1.12579,753
2019.07.11,00:00,1.12582,1.12647,1.12579,1.12608,1815
2019.07.11,01:00,1.12605,1.12636,1.12576,1.12614,1486
2019.07.11,02:00,1.12618,1.12725,1.12611,1.12725,1883
2019.07.11,03:00,1.12724,1.12805,1.12717,1.12779,2076
2019.07.11,04:00,1.12779,1.12786,1.12741,1.12753,1135
2019.07.11,05:00,1.12753,1.12786,1.12691,1.12695,1251
2019.07.11,06:00,1.12693,1.12724,1.12664,1.12692,2681
2019.07.11,07:00,1.12693,1.12779,1.12678,1.12766,3887
2019.07.11,08:00,1.12765,1.12778,1.12713,1.12732,2693
2019.07.11,09:00,1.12732,1.12733,1.1266,1.1266,2706
2019.07.11,10:00,1.12658,1.12737,1.12637,1.12712,3234
2019.07.11,11:00,1.12713,1.12782,1.12643,1.12769,3926
2019.07.11,12:00,1.1277,1.12853,1.12618,1.12671,9658
2019.07.11,13:00,1.12672,1.12722,1.12513,1.12568,5108
2019.07.11,14:00,1.12569,1.12603,1.12504,1.12523,5636
2019.07.11,15:00,1.12522,1.12621,1.12507,1.12603,3615
2019.07.11,16:00,1.12604,1.1261,1.12447,1.1254,3864
2019.07.11,17:00,1.12544,1.12578,1.12453,1.12514,5174
2019.07.11,18:00,1.12513,1.12585,1.12509,1.1257,2915
2019.07.11,19:00,1.12573,1.12605,1.12543,1.12565,2184
2019.07.11,20:00,1.12561,1.12561,1.12506,1.12528,976
2019.07.11,21:05,1.1253,1.12574,1.12524,1.12546,1312
2019.07.11,22:05,1.12546,1.12584,1.12546,1.12558,1068
2019.07.11,23:05,1.12559,1.12561,1.12489,1.12494,724
2019.07.12,00:00,1.12493,1.12598,1.12489,1.12581,1426
2019.07.12,01:00,1.12582,1.12644,1.12575,1.12639,1686
2019.07.12,02:00,1.12638,1.1267,1.12623,1.12654,1260
2019.07.12,03:00,1.12654,1.12717,1.12638,1.12715,1300
2019.07.12,04:00,1.12716,1.12733,1.12692,1.12709,1117
2019.07.12,05:00,1.12708,1.12746,1.12696,1.12728,1409
2019.07.12,06:00,1.1273,1.12731,1.12663,1.12712,2977
2019.07.12,07:00,1.12714,1.12744,1.12614,1.12645,4024
2019.07.12,08:00,1.12644,1.12697,1.12611,1.12618,3767
2019.07.12,09:00,1.12625,1.12668,1.12542,1.12564,4552
2019.07.12,10:00,1.12565,1.12596,1.12533,1.12575,2392
2019.07.12,11:00,1.12571,1.12603,1.12456,1.12469,3841
2019.07.12,12:00,1.12466,1.12533,1.12377,1.12447,6022
2019.07.12,13:00,1.12449,1.1249,1.12406,1.12482,5191
2019.07.12,14:00,1.12482,1.12519,1.12436,1.12514,4282
2019.07.12,15:00,1.12513,1.12588,1.12491,1.12533,3832
2019.07.12,16:00,1.12526,1.12675,1.12523,1.12672,2690
2019.07.12,17:00,1.12673,1.12697,1.12632,1.12672,2072
2019.07.12,18:00,1.12671,1.12737,1.12661,1.12715,2237
2019.07.12,19:00,1.12714,1.12728,1.12682,1.12706,1475
2019.07.12,20:00,1.1271,1.12713,1.12669,1.12698,722
2019.07.14,21:05,1.12647,1.12732,1.12624,1.12714,1529
2019.07.14,22:05,1.12716,1.1274,1.12711,1.12713,495
2019.07.14,23:05,1.12712,1.12719,1.12688,1.12708,794
2019.07.15,00:00,1.12709,1.12743,1.12698,1.12737,1099
2019.07.15,01:00,1.12737,1.1274,1.1264,1.12689,2020
2019.07.15,02:00,1.12692,1.12712,1.12639,1.12702,2248
2019.07.15,03:00,1.12701,1.12728,1.12637,1.12719,1594
2019.07.15,04:00,1.12719,1.12741,1.1268,1.12719,1136
2019.07.15,05:00,1.12718,1.12737,1.12696,1.12728,823
2019.07.15,06:00,1.12725,1.12778,1.12702,1.12746,2235
2019.07.15,07:00,1.12745,1.12833,1.1271,1.12798,3537
2019.07.15,08:00,1.12797,1.12801,1.12693,1.12725,3491
2019.07.15,09:00,1.12724,1.12811,1.12686,1.12787,2290
2019.07.15,10:00,1.12788,1.12835,1.12768,1.12772,2117
2019.07.15,11:00,1.12774,1.12775,1.12611,1.1263,2626
2019.07.15,12:00,1.1263,1.1273,1.12622,1.12652,3366
2019.07.15,13:00,1.12652,1.12708,1.12622,1.12672,3155
2019.07.15,14:00,1.12671,1.12672,1.12556,1.12612,3613
2019.07.15,15:00,1.12613,1.12622,1.12528,1.12584,2991
2019.07.15,16:00,1.12585,1.12635,1.12573,1.12588,1879
2019.07.15,17:00,1.12587,1.12593,1.12535,1.12563,1085
2019.07.15,18:00,1.12564,1.12596,1.12559,1.12586,885
2019.07.15,19:00,1.12585,1.12588,1.12557,1.12565,930
2019.07.15,20:00,1.12569,1.12587,1.12561,1.12571,639
2019.07.15,21:05,1.12576,1.12617,1.12576,1.12596,2088
2019.07.15,22:05,1.12598,1.12629,1.12594,1.1261,585
2019.07.15,23:05,1.12611,1.12618,1.12594,1.12595,511
2019.07.16,00:00,1.12599,1.12627,1.1257,1.12579,991
2019.07.16,01:00,1.12579,1.12608,1.12549,1.12582,1815
2019.07.16,02:00,1.12581,1.12626,1.1257,1.12625,971
2019.07.16,03:00,1.12624,1.12631,1.12591,1.12594,629
2019.07.16,04:00,1.12593,1.12602,1.12582,1.12596,644
2019.07.16,05:00,1.12596,1.12605,1.12574,1.12579,830
2019.07.16,06:00,1.12579,1.12614,1.1253,1.1256,2273
2019.07.16,07:00,1.12559,1.12579,1.12449,1.12482,3304
2019.07.16,08:00,1.12484,1.12487,1.12356,1.12443,4393
2019.07.16,09:00,1.12444,1.12453,1.12308,1.12312,3557
